actuated_joint_pos	actuated_joint_vel	actuated_joint_torque	unactuated_joint_pos	unactuated_joint_vel	unactuated_joint_torque
4e-05	0.04	20	4e-05	0.04	20
7e-05	0.03	10	8e-05	0.04	20
0.00012	0.05	10	0.00016	0.0799999	20
0.00019	0.07	10	0.00028	0.12	20
0.00025	0.06	10	0.00038	0.1	20
0.00033	0.0799998	10	0.00052	0.14	20
0.00043	0.0999998	10	0.0007	0.18	20
0.00052	0.09	10	0.00086	0.16	20
0.000629999	0.11	10	0.00106	0.2	20
0.000739999	0.11	10	0.0012706	0.2106	20
0.000859999	0.12	10	0.0014918	0.2212	20
0.000989999	0.13	10	0.001753	0.2612	20
0.00113	0.14	10	0.002013	0.26	20
0.00128	0.15	10	0.002313	0.3	20
0.00144041	0.160412	10	0.0026236	0.3106	20
0.00161041	0.17	10	0.0029448	0.3212	20
0.00179041	0.18	10	0.003306	0.3612	20
0.00198041	0.19	10	0.003666	0.36	20
0.00218041	0.2	10	0.004066	0.4	20
0.00239041	0.21	10	0.0044766	0.4106	20
0.00261041	0.22	10	0.0048978	0.4212	20
0.00284041	0.23	10	0.005359	0.4612	20
0.00308041	0.24	10	0.005819	0.46	20
0.00333041	0.25	10	0.006319	0.5	20
0.00359082	0.260412	10	0.0068296	0.5106	20
0.00386082	0.27	10	0.0073508	0.5212	20
0.00414082	0.28	10	0.007912	0.5612	20
0.00443082	0.29	10	0.008472	0.56	20
0.00473082	0.3	10	0.009072	0.6	20
0.00504082	0.31	10	0.0096826	0.6106	20
0.00536082	0.32	10	0.0103038	0.6212	20
0.00569082	0.33	10	0.010965	0.6612	20
0.00603082	0.34	10	0.011625	0.66	20
0.00638082	0.35	10	0.012325	0.7	20
0.00674124	0.360412	10	0.0130356	0.7106	20
0.00711124	0.37	10	0.0137568	0.7212	20
0.00749124	0.38	10	0.014518	0.7612	20
0.00788124	0.39	10	0.015278	0.76	20
0.00828124	0.4	10	0.016078	0.8	20
0.00869124	0.41	10	0.0168886	0.8106	20
0.00911124	0.42	10	0.0177098	0.8212	20
0.00954124	0.43	10	0.018571	0.8612	20
0.00998124	0.44	10	0.019431	0.86	20
0.0104312	0.45	10	0.020331	0.9	20
0.0108916	0.460412	10	0.0212416	0.9106	20
0.0113616	0.47	10	0.0221628	0.9212	20
0.0118416	0.48	10	0.023124	0.9612	20
0.0123316	0.49	10	0.024084	0.96	20
0.0128316	0.5	10	0.025084	1	20
0.0133416	0.51	10	0.0260946	1.0106	20
0.0138616	0.52	10	0.0271158	1.0212	20
0.0143916	0.53	10	0.028177	1.0612	20
0.0149316	0.54	10	0.029237	1.06	20
0.0154816	0.55	10	0.030337	1.1	20
0.0160421	0.560412	10	0.0314476	1.1106	20
0.0166121	0.57	10	0.0325688	1.1212	20
0.0171921	0.58	10	0.03373	1.1612	20
0.0177821	0.59	10	0.03489	1.16	20
0.0183821	0.6	10	0.03609	1.2	20
0.0189921	0.61	10	0.0373006	1.2106	20
0.0196121	0.62	10	0.0385218	1.2212	20
0.0202421	0.63	10	0.039783	1.2612	20
0.0208821	0.64	10	0.041043	1.26	20
0.0215321	0.65	10	0.042343	1.3	20
0.0221925	0.660413	10	0.0436536	1.3106	20
0.0228625	0.67	10	0.0449748	1.3212	20
0.0235425	0.68	10	0.046336	1.3612	20
0.0242325	0.69	10	0.047696	1.36	20
0.0249325	0.7	10	0.049096	1.4	20
0.0256425	0.71	10	0.0505066	1.4106	20
0.0263625	0.72	10	0.0519278	1.4212	20
0.0270925	0.73	10	0.053389	1.4612	20
0.0278325	0.74	10	0.054849	1.46	20
0.0285825	0.75	10	0.056349	1.5	20
